year,country,item,unit,value,source_file,sheet
1882,Guyana,Sugar,1000 MT,134,Exports_1.xlsx,page_2564_table_1
1883,Guyana,Sugar,1000 MT,125,Exports_1.xlsx,page_2564_table_1
1884,Guyana,Sugar,1000 MT,134,Exports_1.xlsx,page_2564_table_1
1885,Guyana,Sugar,1000 MT,103,Exports_1.xlsx,page_2564_table_1
1886,Guyana,Sugar,1000 MT,120,Exports_1.xlsx,page_2564_table_1
1887,Guyana,Sugar,1000 MT,145,Exports_1.xlsx,page_2564_table_1
1888,Guyana,Sugar,1000 MT,110,Exports_1.xlsx,page_2564_table_1
1822,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1823,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1824,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1825,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1826,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1827,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1828,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1829,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1830,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1831,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1832,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1833,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1834,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1835,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1836,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1837,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1838,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1839,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1840,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1841,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1842,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1843,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1844,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1845,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1846,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1847,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1848,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1849,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1850,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1851,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1852,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1853,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1854,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1855,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1856,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1857,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1858,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1859,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1860,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1861,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1862,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1863,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1864,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1865,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1866,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1867,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1868,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1869,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1870,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1871,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1872,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1873,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1874,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1875,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1876,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1877,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1878,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1879,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2564_table_1
1880,Peru,Sugar,1000 MT,58,Exports_1.xlsx,page_2564_table_1
1881,Peru,Sugar,1000 MT,44,Exports_1.xlsx,page_2564_table_1
1882,Peru,Sugar,1000 MT,45,Exports_1.xlsx,page_2564_table_1
1883,Peru,Sugar,1000 MT,35,Exports_1.xlsx,page_2564_table_1
1884,Peru,Sugar,1000 MT,34,Exports_1.xlsx,page_2564_table_1
1885,Peru,Sugar,1000 MT,46,Exports_1.xlsx,page_2564_table_1
1886,Peru,Sugar,1000 MT,44,Exports_1.xlsx,page_2564_table_1
1887,Peru,Sugar,1000 MT,36,Exports_1.xlsx,page_2564_table_1
1888,Peru,Sugar,1000 MT,41,Exports_1.xlsx,page_2564_table_1
1890,Brazil,Sugar,1000 MT,134,Exports_1.xlsx,page_2565_table_1
1891,Brazil,Sugar,1000 MT,185,Exports_1.xlsx,page_2565_table_1
1892,Brazil,Sugar,1000 MT,162,Exports_1.xlsx,page_2565_table_1
1893,Brazil,Sugar,1000 MT,104,Exports_1.xlsx,page_2565_table_1
1894,Brazil,Sugar,1000 MT,152,Exports_1.xlsx,page_2565_table_1
1895,Brazil,Sugar,1000 MT,164,Exports_1.xlsx,page_2565_table_1
1896,Brazil,Sugar,1000 MT,173,Exports_1.xlsx,page_2565_table_1
1897,Brazil,Sugar,1000 MT,128,Exports_1.xlsx,page_2565_table_1
1898,Brazil,Sugar,1000 MT,126,Exports_1.xlsx,page_2565_table_1
1899,Brazil,Sugar,1000 MT,50,Exports_1.xlsx,page_2565_table_1
1900,Brazil,Sugar,1000 MT,92,Exports_1.xlsx,page_2565_table_1
1901,Brazil,Sugar,1000 MT,187,Exports_1.xlsx,page_2565_table_1
1902,Brazil,Sugar,1000 MT,137,Exports_1.xlsx,page_2565_table_1
1903,Brazil,Sugar,1000 MT,22,Exports_1.xlsx,page_2565_table_1
1904,Brazil,Sugar,1000 MT,7.9,Exports_1.xlsx,page_2565_table_1
1905,Brazil,Sugar,1000 MT,38,Exports_1.xlsx,page_2565_table_1
1906,Brazil,Sugar,1000 MT,85,Exports_1.xlsx,page_2565_table_1
1907,Brazil,Sugar,1000 MT,13,Exports_1.xlsx,page_2565_table_1
1908,Brazil,Sugar,1000 MT,32,Exports_1.xlsx,page_2565_table_1
1909,Brazil,Sugar,1000 MT,68,Exports_1.xlsx,page_2565_table_1
1910,Brazil,Sugar,1000 MT,58,Exports_1.xlsx,page_2565_table_1
1911,Brazil,Sugar,1000 MT,36,Exports_1.xlsx,page_2565_table_1
1912,Brazil,Sugar,1000 MT,4.8,Exports_1.xlsx,page_2565_table_1
1913,Brazil,Sugar,1000 MT,5.4,Exports_1.xlsx,page_2565_table_1
1914,Brazil,Sugar,1000 MT,32,Exports_1.xlsx,page_2565_table_1
1915,Brazil,Sugar,1000 MT,59,Exports_1.xlsx,page_2565_table_1
1916,Brazil,Sugar,1000 MT,54,Exports_1.xlsx,page_2565_table_1
1917,Brazil,Sugar,1000 MT,138,Exports_1.xlsx,page_2565_table_1
1918,Brazil,Sugar,1000 MT,116,Exports_1.xlsx,page_2565_table_1
1919,Brazil,Sugar,1000 MT,69,Exports_1.xlsx,page_2565_table_1
1920,Brazil,Sugar,1000 MT,109,Exports_1.xlsx,page_2565_table_1
1921,Brazil,Sugar,1000 MT,172,Exports_1.xlsx,page_2565_table_1
1922,Brazil,Sugar,1000 MT,252,Exports_1.xlsx,page_2565_table_1
1923,Brazil,Sugar,1000 MT,153,Exports_1.xlsx,page_2565_table_1
1924,Brazil,Sugar,1000 MT,35,Exports_1.xlsx,page_2565_table_1
1925,Brazil,Sugar,1000 MT,3.2,Exports_1.xlsx,page_2565_table_1
1926,Brazil,Sugar,1000 MT,17,Exports_1.xlsx,page_2565_table_1
1927,Brazil,Sugar,1000 MT,49,Exports_1.xlsx,page_2565_table_1
1928,Brazil,Sugar,1000 MT,30,Exports_1.xlsx,page_2565_table_1
1929,Brazil,Sugar,1000 MT,15,Exports_1.xlsx,page_2565_table_1
1930,Brazil,Sugar,1000 MT,85,Exports_1.xlsx,page_2565_table_1
1931,Brazil,Sugar,1000 MT,11,Exports_1.xlsx,page_2565_table_1
1932,Brazil,Sugar,1000 MT,41,Exports_1.xlsx,page_2565_table_1
1933,Brazil,Sugar,1000 MT,25,Exports_1.xlsx,page_2565_table_1
1934,Brazil,Sugar,1000 MT,24,Exports_1.xlsx,page_2565_table_1
1935,Brazil,Sugar,1000 MT,85,Exports_1.xlsx,page_2565_table_1
1936,Brazil,Sugar,1000 MT,90,Exports_1.xlsx,page_2565_table_1
1937,Brazil,Sugar,1000 MT,0.3,Exports_1.xlsx,page_2565_table_1
1938,Brazil,Sugar,1000 MT,8.1,Exports_1.xlsx,page_2565_table_1
1939,Brazil,Sugar,1000 MT,50,Exports_1.xlsx,page_2565_table_1
1940,Brazil,Sugar,1000 MT,67,Exports_1.xlsx,page_2565_table_1
1941,Brazil,Sugar,1000 MT,25,Exports_1.xlsx,page_2565_table_1
1942,Brazil,Sugar,1000 MT,46,Exports_1.xlsx,page_2565_table_1
1943,Brazil,Sugar,1000 MT,12,Exports_1.xlsx,page_2565_table_1
1944,Brazil,Sugar,1000 MT,70,Exports_1.xlsx,page_2565_table_1
1945,Brazil,Sugar,1000 MT,27,Exports_1.xlsx,page_2565_table_1
1946,Brazil,Sugar,1000 MT,22,Exports_1.xlsx,page_2565_table_1
1947,Brazil,Sugar,1000 MT,17,Exports_1.xlsx,page_2565_table_1
1948,Brazil,Sugar,1000 MT,342,Exports_1.xlsx,page_2565_table_1
1949,Brazil,Sugar,1000 MT,57,Exports_1.xlsx,page_2565_table_1
1950,Brazil,Sugar,1000 MT,24,Exports_1.xlsx,page_2565_table_1
1951,Brazil,Sugar,1000 MT,18,Exports_1.xlsx,page_2565_table_1
1952,Brazil,Sugar,1000 MT,43,Exports_1.xlsx,page_2565_table_1
1953,Brazil,Sugar,1000 MT,256,Exports_1.xlsx,page_2565_table_1
1954,Brazil,Sugar,1000 MT,162,Exports_1.xlsx,page_2565_table_1
1955,Brazil,Sugar,1000 MT,573,Exports_1.xlsx,page_2565_table_1
1956,Brazil,Sugar,1000 MT,19,Exports_1.xlsx,page_2565_table_1
1957,Brazil,Sugar,1000 MT,424,Exports_1.xlsx,page_2565_table_1
1958,Brazil,Sugar,1000 MT,759,Exports_1.xlsx,page_2565_table_1
1890,Guyana,Sugar,1000 MT,107,Exports_1.xlsx,page_2565_table_1
1891,Guyana,Sugar,1000 MT,119,Exports_1.xlsx,page_2565_table_1
1892,Guyana,Sugar,1000 MT,115,Exports_1.xlsx,page_2565_table_1
1893,Guyana,Sugar,1000 MT,110,Exports_1.xlsx,page_2565_table_1
1894,Guyana,Sugar,1000 MT,104,Exports_1.xlsx,page_2565_table_1
1895,Guyana,Sugar,1000 MT,103,Exports_1.xlsx,page_2565_table_1
1896,Guyana,Sugar,1000 MT,119,Exports_1.xlsx,page_2565_table_1
1897,Guyana,Sugar,1000 MT,103,Exports_1.xlsx,page_2565_table_1
1898,Guyana,Sugar,1000 MT,98,Exports_1.xlsx,page_2565_table_1
1899,Guyana,Sugar,1000 MT,86,Exports_1.xlsx,page_2565_table_1
1900,Guyana,Sugar,1000 MT,96,Exports_1.xlsx,page_2565_table_1
1901,Guyana,Sugar,1000 MT,107,Exports_1.xlsx,page_2565_table_1
1902,Guyana,Sugar,1000 MT,122,Exports_1.xlsx,page_2565_table_1
1903,Guyana,Sugar,1000 MT,128,Exports_1.xlsx,page_2565_table_1
1904,Guyana,Sugar,1000 MT,108,Exports_1.xlsx,page_2565_table_1
1905,Guyana,Sugar,1000 MT,118,Exports_1.xlsx,page_2565_table_1
1906,Guyana,Sugar,1000 MT,117,Exports_1.xlsx,page_2565_table_1
1907,Guyana,Sugar,1000 MT,102,Exports_1.xlsx,page_2565_table_1
1908,Guyana,Sugar,1000 MT,117,Exports_1.xlsx,page_2565_table_1
1909,Guyana,Sugar,1000 MT,110,Exports_1.xlsx,page_2565_table_1
1910,Guyana,Sugar,1000 MT,103,Exports_1.xlsx,page_2565_table_1
1911,Guyana,Sugar,1000 MT,101,Exports_1.xlsx,page_2565_table_1
1912,Guyana,Sugar,1000 MT,79,Exports_1.xlsx,page_2565_table_1
1913,Guyana,Sugar,1000 MT,89,Exports_1.xlsx,page_2565_table_1
1914,Guyana,Sugar,1000 MT,109,Exports_1.xlsx,page_2565_table_1
1915,Guyana,Sugar,1000 MT,120,Exports_1.xlsx,page_2565_table_1
1916,Guyana,Sugar,1000 MT,104,Exports_1.xlsx,page_2565_table_1
1917,Guyana,Sugar,1000 MT,116,Exports_1.xlsx,page_2565_table_1
1918,Guyana,Sugar,1000 MT,96,Exports_1.xlsx,page_2565_table_1
1919,Guyana,Sugar,1000 MT,85,Exports_1.xlsx,page_2565_table_1
1920,Guyana,Sugar,1000 MT,85,Exports_1.xlsx,page_2565_table_1
1921,Guyana,Sugar,1000 MT,110,Exports_1.xlsx,page_2565_table_1
1922,Guyana,Sugar,1000 MT,92,Exports_1.xlsx,page_2565_table_1
1923,Guyana,Sugar,1000 MT,85,Exports_1.xlsx,page_2565_table_1
1924,Guyana,Sugar,1000 MT,87,Exports_1.xlsx,page_2565_table_1
1925,Guyana,Sugar,1000 MT,99,Exports_1.xlsx,page_2565_table_1
1926,Guyana,Sugar,1000 MT,86,Exports_1.xlsx,page_2565_table_1
1927,Guyana,Sugar,1000 MT,113,Exports_1.xlsx,page_2565_table_1
1928,Guyana,Sugar,1000 MT,117,Exports_1.xlsx,page_2565_table_1
1929,Guyana,Sugar,1000 MT,102,Exports_1.xlsx,page_2565_table_1
1930,Guyana,Sugar,1000 MT,116,Exports_1.xlsx,page_2565_table_1
1931,Guyana,Sugar,1000 MT,121,Exports_1.xlsx,page_2565_table_1
1932,Guyana,Sugar,1000 MT,139,Exports_1.xlsx,page_2565_table_1
1933,Guyana,Sugar,1000 MT,129,Exports_1.xlsx,page_2565_table_1
1934,Guyana,Sugar,1000 MT,132,Exports_1.xlsx,page_2565_table_1
1935,Guyana,Sugar,1000 MT,177,Exports_1.xlsx,page_2565_table_1
1936,Guyana,Sugar,1000 MT,182,Exports_1.xlsx,page_2565_table_1
1937,Guyana,Sugar,1000 MT,185,Exports_1.xlsx,page_2565_table_1
1938,Guyana,Sugar,1000 MT,185,Exports_1.xlsx,page_2565_table_1
1939,Guyana,Sugar,1000 MT,182,Exports_1.xlsx,page_2565_table_1
1940,Guyana,Sugar,1000 MT,145,Exports_1.xlsx,page_2565_table_1
1941,Guyana,Sugar,1000 MT,157,Exports_1.xlsx,page_2565_table_1
1942,Guyana,Sugar,1000 MT,137,Exports_1.xlsx,page_2565_table_1
1943,Guyana,Sugar,1000 MT,133,Exports_1.xlsx,page_2565_table_1
1944,Guyana,Sugar,1000 MT,181,Exports_1.xlsx,page_2565_table_1
1945,Guyana,Sugar,1000 MT,135,Exports_1.xlsx,page_2565_table_1
1946,Guyana,Sugar,1000 MT,150,Exports_1.xlsx,page_2565_table_1
1947,Guyana,Sugar,1000 MT,188,Exports_1.xlsx,page_2565_table_1
1948,Guyana,Sugar,1000 MT,139,Exports_1.xlsx,page_2565_table_1
1949,Guyana,Sugar,1000 MT,177,Exports_1.xlsx,page_2565_table_1
1950,Guyana,Sugar,1000 MT,176,Exports_1.xlsx,page_2565_table_1
1951,Guyana,Sugar,1000 MT,183,Exports_1.xlsx,page_2565_table_1
1952,Guyana,Sugar,1000 MT,238,Exports_1.xlsx,page_2565_table_1
1953,Guyana,Sugar,1000 MT,215,Exports_1.xlsx,page_2565_table_1
1954,Guyana,Sugar,1000 MT,248,Exports_1.xlsx,page_2565_table_1
1955,Guyana,Sugar,1000 MT,246,Exports_1.xlsx,page_2565_table_1
1956,Guyana,Sugar,1000 MT,250,Exports_1.xlsx,page_2565_table_1
1957,Guyana,Sugar,1000 MT,260,Exports_1.xlsx,page_2565_table_1
1958,Guyana,Sugar,1000 MT,305,Exports_1.xlsx,page_2565_table_1
1890,Peru,Sugar,1000 MT,39,Exports_1.xlsx,page_2565_table_1
1891,Peru,Sugar,1000 MT,38,Exports_1.xlsx,page_2565_table_1
1892,Peru,Sugar,1000 MT,48,Exports_1.xlsx,page_2565_table_1
1893,Peru,Sugar,1000 MT,44,Exports_1.xlsx,page_2565_table_1
1894,Peru,Sugar,1000 MT,34,Exports_1.xlsx,page_2565_table_1
1895,Peru,Sugar,1000 MT,59,Exports_1.xlsx,page_2565_table_1
1896,Peru,Sugar,1000 MT,72,Exports_1.xlsx,page_2565_table_1
1897,Peru,Sugar,1000 MT,105,Exports_1.xlsx,page_2565_table_1
1898,Peru,Sugar,1000 MT,106,Exports_1.xlsx,page_2565_table_1
1899,Peru,Sugar,1000 MT,104,Exports_1.xlsx,page_2565_table_1
1900,Peru,Sugar,1000 MT,112,Exports_1.xlsx,page_2565_table_1
1901,Peru,Sugar,1000 MT,115,Exports_1.xlsx,page_2565_table_1
1902,Peru,Sugar,1000 MT,117,Exports_1.xlsx,page_2565_table_1
1903,Peru,Sugar,1000 MT,128,Exports_1.xlsx,page_2565_table_1
1904,Peru,Sugar,1000 MT,132,Exports_1.xlsx,page_2565_table_1
1905,Peru,Sugar,1000 MT,134,Exports_1.xlsx,page_2565_table_1
1906,Peru,Sugar,1000 MT,137,Exports_1.xlsx,page_2565_table_1
1907,Peru,Sugar,1000 MT,111,Exports_1.xlsx,page_2565_table_1
1908,Peru,Sugar,1000 MT,125,Exports_1.xlsx,page_2565_table_1
1909,Peru,Sugar,1000 MT,125,Exports_1.xlsx,page_2565_table_1
1910,Peru,Sugar,1000 MT,123,Exports_1.xlsx,page_2565_table_1
1911,Peru,Sugar,1000 MT,124,Exports_1.xlsx,page_2565_table_1
1912,Peru,Sugar,1000 MT,148,Exports_1.xlsx,page_2565_table_1
1913,Peru,Sugar,1000 MT,143,Exports_1.xlsx,page_2565_table_1
1914,Peru,Sugar,1000 MT,176,Exports_1.xlsx,page_2565_table_1
1915,Peru,Sugar,1000 MT,220,Exports_1.xlsx,page_2565_table_1
1916,Peru,Sugar,1000 MT,239,Exports_1.xlsx,page_2565_table_1
1917,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2565_table_1
1918,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2565_table_1
1919,Peru,Sugar,1000 MT,272,Exports_1.xlsx,page_2565_table_1
1920,Peru,Sugar,1000 MT,250,Exports_1.xlsx,page_2565_table_1
1921,Peru,Sugar,1000 MT,239,Exports_1.xlsx,page_2565_table_1
1922,Peru,Sugar,1000 MT,274,Exports_1.xlsx,page_2565_table_1
1923,Peru,Sugar,1000 MT,293,Exports_1.xlsx,page_2565_table_1
1924,Peru,Sugar,1000 MT,266,Exports_1.xlsx,page_2565_table_1
1925,Peru,Sugar,1000 MT,208,Exports_1.xlsx,page_2565_table_1
1926,Peru,Sugar,1000 MT,330,Exports_1.xlsx,page_2565_table_1
1927,Peru,Sugar,1000 MT,300,Exports_1.xlsx,page_2565_table_1
1928,Peru,Sugar,1000 MT,306,Exports_1.xlsx,page_2565_table_1
1929,Peru,Sugar,1000 MT,363,Exports_1.xlsx,page_2565_table_1
1930,Peru,Sugar,1000 MT,339,Exports_1.xlsx,page_2565_table_1
1931,Peru,Sugar,1000 MT,330,Exports_1.xlsx,page_2565_table_1
1932,Peru,Sugar,1000 MT,325,Exports_1.xlsx,page_2565_table_1
1933,Peru,Sugar,1000 MT,369,Exports_1.xlsx,page_2565_table_1
1934,Peru,Sugar,1000 MT,418,Exports_1.xlsx,page_2565_table_1
1935,Peru,Sugar,1000 MT,326,Exports_1.xlsx,page_2565_table_1
1936,Peru,Sugar,1000 MT,326,Exports_1.xlsx,page_2565_table_1
1937,Peru,Sugar,1000 MT,313,Exports_1.xlsx,page_2565_table_1
1938,Peru,Sugar,1000 MT,250,Exports_1.xlsx,page_2565_table_1
1939,Peru,Sugar,1000 MT,272,Exports_1.xlsx,page_2565_table_1
1940,Peru,Sugar,1000 MT,302,Exports_1.xlsx,page_2565_table_1
1941,Peru,Sugar,1000 MT,378,Exports_1.xlsx,page_2565_table_1
1942,Peru,Sugar,1000 MT,309,Exports_1.xlsx,page_2565_table_1
1943,Peru,Sugar,1000 MT,181,Exports_1.xlsx,page_2565_table_1
1944,Peru,Sugar,1000 MT,223,Exports_1.xlsx,page_2565_table_1
1945,Peru,Sugar,1000 MT,322,Exports_1.xlsx,page_2565_table_1
1946,Peru,Sugar,1000 MT,260,Exports_1.xlsx,page_2565_table_1
1947,Peru,Sugar,1000 MT,276,Exports_1.xlsx,page_2565_table_1
1948,Peru,Sugar,1000 MT,352,Exports_1.xlsx,page_2565_table_1
1949,Peru,Sugar,1000 MT,285,Exports_1.xlsx,page_2565_table_1
1950,Peru,Sugar,1000 MT,291,Exports_1.xlsx,page_2565_table_1
1951,Peru,Sugar,1000 MT,264,Exports_1.xlsx,page_2565_table_1
1952,Peru,Sugar,1000 MT,285,Exports_1.xlsx,page_2565_table_1
1953,Peru,Sugar,1000 MT,408,Exports_1.xlsx,page_2565_table_1
1954,Peru,Sugar,1000 MT,423,Exports_1.xlsx,page_2565_table_1
1955,Peru,Sugar,1000 MT,483,Exports_1.xlsx,page_2565_table_1
1956,Peru,Sugar,1000 MT,428,Exports_1.xlsx,page_2565_table_1
1957,Peru,Sugar,1000 MT,496,Exports_1.xlsx,page_2565_table_1
1958,Peru,Sugar,1000 MT,411,Exports_1.xlsx,page_2565_table_1
1960,Brazil,Sugar,1000 MT,771,Exports_1.xlsx,page_2566_table_1
1961,Brazil,Sugar,1000 MT,783,Exports_1.xlsx,page_2566_table_1
1960,Guyana,Sugar,1000 MT,314,Exports_1.xlsx,page_2566_table_1
1961,Guyana,Sugar,1000 MT,318,Exports_1.xlsx,page_2566_table_1
1960,Peru,Sugar,1000 MT,NA,Exports_1.xlsx,page_2566_table_1
1961,Peru,Sugar,1000 MT,557,Exports_1.xlsx,page_2566_table_1
1746,British Guiana,Sugar,1000 MT,0.8,Exports_1.xlsx,page_2567_table_1
1747,British Guiana,Sugar,1000 MT,0.3,Exports_1.xlsx,page_2567_table_1
1748,British Guiana,Sugar,1000 MT,1.3,Exports_1.xlsx,page_2567_table_1
1749,British Guiana,Sugar,1000 MT,2.2,Exports_1.xlsx,page_2567_table_1
1750,British Guiana,Sugar,1000 MT,1.5,Exports_1.xlsx,page_2567_table_1
1751,British Guiana,Sugar,1000 MT,0.9,Exports_1.xlsx,page_2567_table_1
1752,British Guiana,Sugar,1000 MT,1.6,Exports_1.xlsx,page_2567_table_1
1753,British Guiana,Sugar,1000 MT,0.3,Exports_1.xlsx,page_2567_table_1
1754,British Guiana,Sugar,1000 MT,0.2,Exports_1.xlsx,page_2567_table_1
1755,British Guiana,Sugar,1000 MT,NA,Exports_1.xlsx,page_2567_table_1
1756,British Guiana,Sugar,1000 MT,1.2,Exports_1.xlsx,page_2567_table_1
1757,British Guiana,Sugar,1000 MT,1,Exports_1.xlsx,page_2567_table_1
1758,British Guiana,Sugar,1000 MT,0.5,Exports_1.xlsx,page_2567_table_1
1759,British Guiana,Sugar,1000 MT,NA,Exports_1.xlsx,page_2567_table_1
1760,British Guiana,Sugar,1000 MT,0.5,Exports_1.xlsx,page_2567_table_1
1761,British Guiana,Sugar,1000 MT,0.7,Exports_1.xlsx,page_2567_table_1
1762,British Guiana,Sugar,1000 MT,1.8,Exports_1.xlsx,page_2567_table_1
1763,British Guiana,Sugar,1000 MT,1.8,Exports_1.xlsx,page_2567_table_1
1764,British Guiana,Sugar,1000 MT,1.8,Exports_1.xlsx,page_2567_table_1
1765,British Guiana,Sugar,1000 MT,2.3,Exports_1.xlsx,page_2567_table_1
1766,British Guiana,Sugar,1000 MT,2.5,Exports_1.xlsx,page_2567_table_1
1767,British Guiana,Sugar,1000 MT,2.5,Exports_1.xlsx,page_2567_table_1
1768,British Guiana,Sugar,1000 MT,1.8,Exports_1.xlsx,page_2567_table_1
1769,British Guiana,Sugar,1000 MT,2.1,Exports_1.xlsx,page_2567_table_1
1770,British Guiana,Sugar,1000 MT,3.5,Exports_1.xlsx,page_2567_table_1
1771,British Guiana,Sugar,1000 MT,1.9,Exports_1.xlsx,page_2567_table_1
1772,British Guiana,Sugar,1000 MT,2,Exports_1.xlsx,page_2567_table_1
1773,British Guiana,Sugar,1000 MT,2.3,Exports_1.xlsx,page_2567_table_1
1774,British Guiana,Sugar,1000 MT,3.2,Exports_1.xlsx,page_2567_table_1
1775,British Guiana,Sugar,1000 MT,NA,Exports_1.xlsx,page_2567_table_1
1776,British Guiana,Sugar,1000 MT,2.4,Exports_1.xlsx,page_2567_table_1
1777,British Guiana,Sugar,1000 MT,1.9,Exports_1.xlsx,page_2567_table_1
1778,British Guiana,Sugar,1000 MT,4.2,Exports_1.xlsx,page_2567_table_1
1779,British Guiana,Sugar,1000 MT,3.6,Exports_1.xlsx,page_2567_table_1
1780,British Guiana,Sugar,1000 MT,2.4,Exports_1.xlsx,page_2567_table_1
1781,British Guiana,Sugar,1000 MT,1,Exports_1.xlsx,page_2567_table_1
1782,British Guiana,Sugar,1000 MT,NA,Exports_1.xlsx,page_2567_table_1
1783,British Guiana,Sugar,1000 MT,NA,Exports_1.xlsx,page_2567_table_1
1784,British Guiana,Sugar,1000 MT,2.4,Exports_1.xlsx,page_2567_table_1
1785,British Guiana,Sugar,1000 MT,3,Exports_1.xlsx,page_2567_table_1
1804,British Guiana,Sugar,1000 MT,1.4,Exports_1.xlsx,page_2567_table_1
1851,Canada,Butter,1000 MT,NA,Exports_1.xlsx,page_2568_table_1
1852,Canada,Butter,1000 MT,NA,Exports_1.xlsx,page_2568_table_1
1853,Canada,Butter,1000 MT,NA,Exports_1.xlsx,page_2568_table_1
1854,Canada,Butter,1000 MT,NA,Exports_1.xlsx,page_2568_table_1
1855,Canada,Butter,1000 MT,NA,Exports_1.xlsx,page_2568_table_1
1856,Canada,Butter,1000 MT,NA,Exports_1.xlsx,page_2568_table_1
1857,Canada,Butter,1000 MT,NA,Exports_1.xlsx,page_2568_table_1
1858,Canada,Butter,1000 MT,NA,Exports_1.xlsx,page_2568_table_1
1859,Canada,Butter,1000 MT,NA,Exports_1.xlsx,page_2568_table_1
1860,Canada,Butter,1000 MT,NA,Exports_1.xlsx,page_2568_table_1
1861,Canada,Butter,1000 MT,NA,Exports_1.xlsx,page_2568_table_1
1862,Canada,Butter,1000 MT,NA,Exports_1.xlsx,page_2568_table_1
