"name_bnf","coefficient","stored_value","unit","denominator","evidence_class","registry_source_note","source_id","source_identity_status","source_title","source_year","source_venue","source_doi","source_context","publication_locator","reported_value","reported_unit","transformation","derivation_parent","derivation_formula","verification_result","verification_rationale","authority_caveat","next_resolution_condition"
"Soyabeans","below_ground_n_ratio","1.4","dimensionless","multiplicative factor applied to shoot N fixed","source_asserted","Lassaletta et al., 2014, based on Salvagiotti et al., 2008","lassaletta_2014_erl_s1","exact; corrected immediate authority is ERL 9:105011 Supplementary Methods","50 year trends in nitrogen use efficiency of world cropping systems: the relationship between yield and nitrogen input to cropland","2014","Environmental Research Letters 9:105011","10.1088/1748-9326/9/10/105011","ERL 9:105011 Supplementary Methods: Table S1-2 crop vectors; Table S1-3 adjacent non-symbiotic BNF context.","Supplementary Methods, PDF p. 5, Table S1-2 and PDF p. 6 method text","1.4","dimensionless","none","","","matched","Table S1-2 directly reports the BGN multiplier; visual inspection pins groundnut to 1.3 (the text-layer column alignment alone is ambiguous). Page 6 explains 1.3/1.7 as grain/forage rules and soybean 1.4 separately.","For groundnut, the immediate dataset authority is Table S1-2 value 1.3, while Herridge Table 4 implies 1.4 under its different crop convention. The stored value is provenance-matched; selecting a preferred future convention requires a separate evidence-backed correction.",""
"Fodder, other","below_ground_n_ratio","1.3","dimensionless","multiplicative factor applied to shoot N fixed","derivation_asserted","Based on share of green leguminous","whep_bnf_row_copy","internal exact row-copy derivation","","","","","","Internal bnf.csv derivation; no publication locator applicable.","","dimensionless","none","Green leguminous","stored_value = parent stored_value","exact_derivation_match","The registry row declares it is based on the share of Green leguminous, and all three process coefficients are exact row copies. This verifies the arithmetic only; the parent's scientific uncertainty is inherited.","The parent coefficients are source-backed by Lassaletta ERL Supplement Table S1-2.",""
"Mixed swards","below_ground_n_ratio","1.4","dimensionless","multiplicative factor applied to shoot N fixed","genuinely_unresolved","Luscher et al. 2014; Suter et al. 2015; Nyfeler et al. 2011","luscher_2014; suter_2015; nyfeler_2011","exact | exact | exact","Potential of legume-based grassland-livestock systems in Europe: a review | Nitrogen yield advantage from grass-legume mixtures is robust over a wide range of legume proportions and environmental conditions | Grass-legume mixtures can yield more nitrogen than legume pure stands due to mutual stimulation of nitrogen uptake from symbiotic and non-symbiotic sources","2014 | 2015 | 2011","","10.1111/gfs.12124 | 10.1111/gcb.12880 | 10.1016/j.agee.2010.11.022","","No value-level publication page, table, or equation established.","","","none","","","unresolved_without_guessing","The three papers concern grass-legume mixtures and response across legume proportions, but no explicit four-coefficient derivation for 0.68/0.45/1.4/0.25 was located. Published optimal/probed proportions are not a universal stand share.","No value-level authority is established; the stored value is retained without endorsement.","Specify the target sward population and write a reproducible parameter derivation from primary tables/data."
"Meadows","below_ground_n_ratio","1.5","dimensionless","multiplicative factor applied to shoot N fixed","genuinely_unresolved","Luscher et al. 2014; Ledgard et al. 2001; Roscher et al. 2011","luscher_2014; ledgard_2001_ambiguous; roscher_2011","exact | ambiguous: at least two Ledgard 2001 papers | exact","Potential of legume-based grassland-livestock systems in Europe: a review | Candidate A: Nitrogen fixation by white clover in pastures grazed by dairy cows; candidate B: Nitrogen cycling in low input legume-based agriculture | N2 fixation and performance of 12 legume species in a 6-year grassland biodiversity experiment","2014 | 2001 | 2011","","10.1111/gfs.12124 | 10.1023/A:1004833804002 | 10.1023/A:1004810620983 | 10.1007/s11104-010-0647-0","","No value-level publication page, table, or equation established.","","","none","","","unresolved_without_guessing","The composite citation does not identify a single meadow estimand or formula. Ledgard 2001 is bibliographically ambiguous, and Roscher's biodiversity experiment is not a direct universal-meadow coefficient source.","No value-level authority is established; the stored value is retained without endorsement.","Resolve the Ledgard identity and define a meadow population plus an explicit aggregation/transfer rule."
"Rice","nonsymbiotic_base_kg_ha","33","kg N ha-1 yr-1","land area and year","source_asserted","Lassaletta et al., 2014, based on Herridge et al., 2008","herridge_2008","exact","Global inputs of biological nitrogen fixation in agricultural systems","2008","Plant and Soil 311:1-18","10.1007/s11104-008-9668-3","","Primary article, PDF p. 11, Table 6, rate of N2 fixation","33","kg N ha-1 yr-1","none","","","matched","Table 6 directly reports the non-legume system rates.","",""
"Sugarcane","nonsymbiotic_base_kg_ha","25","kg N ha-1 yr-1","land area and year","source_asserted","Lassaletta et al., 2014, based on Herridge et al., 2008","herridge_2008","exact","Global inputs of biological nitrogen fixation in agricultural systems","2008","Plant and Soil 311:1-18","10.1007/s11104-008-9668-3","","Primary article, PDF p. 11, Table 6, rate of N2 fixation","25","kg N ha-1 yr-1","none","","","matched","Table 6 directly reports the non-legume system rates.","",""
"Alfalfa","leguminous_share","1","dimensionless","total modeled crop/stand","derivation_asserted","Anglade et al., 2015","whep_stand_definition","internal stand-classification definition","","","","","","Internal bnf.csv derivation; no publication locator applicable.","","dimensionless","none","name_bnf crop-group classification","pure legume crop => leguminous_share = 1","exact_derivation_match","A pure legume crop is entirely leguminous by the registry's stand-definition convention.","Internal classification convention, not a source-reported measurement.",""
"Beans","leguminous_share","1","dimensionless","total modeled crop/stand","derivation_asserted","Herridge et al., 2008","whep_stand_definition","internal stand-classification definition","","","","","","Internal bnf.csv derivation; no publication locator applicable.","","dimensionless","none","name_bnf crop-group classification","pure legume crop => leguminous_share = 1","exact_derivation_match","A pure legume crop is entirely leguminous by the registry's stand-definition convention.","Internal classification convention, not a source-reported measurement.",""
"Clover","leguminous_share","1","dimensionless","total modeled crop/stand","derivation_asserted","Anglade et al., 2015","whep_stand_definition","internal stand-classification definition","","","","","","Internal bnf.csv derivation; no publication locator applicable.","","dimensionless","none","name_bnf crop-group classification","pure legume crop => leguminous_share = 1","exact_derivation_match","A pure legume crop is entirely leguminous by the registry's stand-definition convention.","Internal classification convention, not a source-reported measurement.",""
"Fava bean","leguminous_share","1","dimensionless","total modeled crop/stand","derivation_asserted","Anglade et al., 2015","whep_stand_definition","internal stand-classification definition","","","","","","Internal bnf.csv derivation; no publication locator applicable.","","dimensionless","none","name_bnf crop-group classification","pure legume crop => leguminous_share = 1","exact_derivation_match","A pure legume crop is entirely leguminous by the registry's stand-definition convention.","Internal classification convention, not a source-reported measurement.",""
"Green leguminous","leguminous_share","1","dimensionless","total modeled crop/stand","derivation_asserted","Lassaletta et al., 2014, based on Anglade et al., 2015","whep_stand_definition","internal stand-classification definition","","","","","","Internal bnf.csv derivation; no publication locator applicable.","","dimensionless","none","name_bnf crop-group classification","pure legume crop => leguminous_share = 1","exact_derivation_match","A pure legume crop is entirely leguminous by the registry's stand-definition convention.","Internal classification convention, not a source-reported measurement.",""
"Groundnuts, with shell","leguminous_share","1","dimensionless","total modeled crop/stand","derivation_asserted","Herridge et al., 2008","whep_stand_definition","internal stand-classification definition","","","","","","Internal bnf.csv derivation; no publication locator applicable.","","dimensionless","none","name_bnf crop-group classification","pure legume crop => leguminous_share = 1","exact_derivation_match","A pure legume crop is entirely leguminous by the registry's stand-definition convention.","Internal classification convention, not a source-reported measurement.",""
"Lentils","leguminous_share","1","dimensionless","total modeled crop/stand","derivation_asserted","Anglade et al., 2015","whep_stand_definition","internal stand-classification definition","","","","","","Internal bnf.csv derivation; no publication locator applicable.","","dimensionless","none","name_bnf crop-group classification","pure legume crop => leguminous_share = 1","exact_derivation_match","A pure legume crop is entirely leguminous by the registry's stand-definition convention.","Internal classification convention, not a source-reported measurement.",""
"Other pulses","leguminous_share","1","dimensionless","total modeled crop/stand","derivation_asserted","Lassaletta et al., 2014, based on Anglade et al., 2015","whep_stand_definition","internal stand-classification definition","","","","","","Internal bnf.csv derivation; no publication locator applicable.","","dimensionless","none","name_bnf crop-group classification","pure legume crop => leguminous_share = 1","exact_derivation_match","A pure legume crop is entirely leguminous by the registry's stand-definition convention.","Internal classification convention, not a source-reported measurement.",""
"Pea","leguminous_share","1","dimensionless","total modeled crop/stand","derivation_asserted","Anglade et al., 2015","whep_stand_definition","internal stand-classification definition","","","","","","Internal bnf.csv derivation; no publication locator applicable.","","dimensionless","none","name_bnf crop-group classification","pure legume crop => leguminous_share = 1","exact_derivation_match","A pure legume crop is entirely leguminous by the registry's stand-definition convention.","Internal classification convention, not a source-reported measurement.",""
"Rice","leguminous_share","0","dimensionless","total modeled crop/stand","derivation_asserted","Lassaletta et al., 2014, based on Herridge et al., 2008","whep_stand_definition","internal stand-classification definition","","","","","","Internal bnf.csv derivation; no publication locator applicable.","","dimensionless","none","name_bnf crop-group classification","non-legume system => leguminous_share = 0","exact_derivation_match","Rice and sugarcane are non-legume systems under the registry's stand-definition convention.","Internal classification convention, not a source-reported measurement.",""
"Soyabeans","leguminous_share","1","dimensionless","total modeled crop/stand","derivation_asserted","Lassaletta et al., 2014, based on Salvagiotti et al., 2008","whep_stand_definition","internal stand-classification definition","","","","","","Internal bnf.csv derivation; no publication locator applicable.","","dimensionless","none","name_bnf crop-group classification","pure legume crop => leguminous_share = 1","exact_derivation_match","A pure legume crop is entirely leguminous by the registry's stand-definition convention.","Internal classification convention, not a source-reported measurement.",""
"Sugarcane","leguminous_share","0","dimensionless","total modeled crop/stand","derivation_asserted","Lassaletta et al., 2014, based on Herridge et al., 2008","whep_stand_definition","internal stand-classification definition","","","","","","Internal bnf.csv derivation; no publication locator applicable.","","dimensionless","none","name_bnf crop-group classification","non-legume system => leguminous_share = 0","exact_derivation_match","Rice and sugarcane are non-legume systems under the registry's stand-definition convention.","Internal classification convention, not a source-reported measurement.",""
"Fodder, other","leguminous_share","0.5","dimensionless","total modeled crop/stand","genuinely_unresolved","Based on share of green leguminous","whep_mixed_fodder_convention","internal modelling convention; no scholarly source asserted","","","","","","No value-level publication page, table, or equation established.","","","none","","","unresolved_without_guessing","The row note gives no formula or evidence for the 0.50 mixed-fodder legume share.","No value-level authority is established; the stored value is retained without endorsement.","Define the fodder population and document a primary-data weighting rule or an expert-approved modelling convention."
"Mixed swards","leguminous_share","0.25","dimensionless","total modeled crop/stand","genuinely_unresolved","Luscher et al. 2014; Suter et al. 2015; Nyfeler et al. 2011","luscher_2014; suter_2015; nyfeler_2011","exact | exact | exact","Potential of legume-based grassland-livestock systems in Europe: a review | Nitrogen yield advantage from grass-legume mixtures is robust over a wide range of legume proportions and environmental conditions | Grass-legume mixtures can yield more nitrogen than legume pure stands due to mutual stimulation of nitrogen uptake from symbiotic and non-symbiotic sources","2014 | 2015 | 2011","","10.1111/gfs.12124 | 10.1111/gcb.12880 | 10.1016/j.agee.2010.11.022","","No value-level publication page, table, or equation established.","","","none","","","unresolved_without_guessing","The three papers concern grass-legume mixtures and response across legume proportions, but no explicit four-coefficient derivation for 0.68/0.45/1.4/0.25 was located. Published optimal/probed proportions are not a universal stand share.","No value-level authority is established; the stored value is retained without endorsement.","Specify the target sward population and write a reproducible parameter derivation from primary tables/data."
"Meadows","leguminous_share","0.1","dimensionless","total modeled crop/stand","genuinely_unresolved","Luscher et al. 2014; Ledgard et al. 2001; Roscher et al. 2011","luscher_2014; ledgard_2001_ambiguous; roscher_2011","exact | ambiguous: at least two Ledgard 2001 papers | exact","Potential of legume-based grassland-livestock systems in Europe: a review | Candidate A: Nitrogen fixation by white clover in pastures grazed by dairy cows; candidate B: Nitrogen cycling in low input legume-based agriculture | N2 fixation and performance of 12 legume species in a 6-year grassland biodiversity experiment","2014 | 2001 | 2011","","10.1111/gfs.12124 | 10.1023/A:1004833804002 | 10.1023/A:1004810620983 | 10.1007/s11104-010-0647-0","","No value-level publication page, table, or equation established.","","","none","","","unresolved_without_guessing","The composite citation does not identify a single meadow estimand or formula. Ledgard 2001 is bibliographically ambiguous, and Roscher's biodiversity experiment is not a direct universal-meadow coefficient source.","No value-level authority is established; the stored value is retained without endorsement.","Resolve the Ledgard identity and define a meadow population plus an explicit aggregation/transfer rule."
"Fallow","leguminous_share","0.1","dimensionless","total modeled crop/stand","genuinely_unresolved","Espigares & Peco 1993; Cirujeda et al. 2011","espigares_peco_1993; cirujeda_2011_candidate","exact | best candidate but row citation underspecified","Mediterranean annual pasture dynamics: the role of germination | Remarkable changes of weed species in Spanish cereal fields from 1976 to 2007","1993 | 2011","","not established | 10.1007/s13593-011-0030-4","","No value-level publication page, table, or equation established.","","","none","","","unresolved_without_guessing","The cited vegetation studies do not directly report a universal fallow Ndfa 0.68 or leguminous share 0.10, and no taxon-to-functional-share derivation is declared.","No value-level authority is established; the stored value is retained without endorsement.","Define geography/fallow type and derive abundance-weighted legume share and Ndfa from primary vegetation data."
"Weeds","leguminous_share","0.05","dimensionless","total modeled crop/stand","genuinely_unresolved","Storkey et al. 2012; Fried et al. 2009; Cirujeda et al. 2011","storkey_2012; fried_2009_ambiguous; cirujeda_2011_candidate","exact | ambiguous: at least two Fried 2009 papers | best candidate but row citation underspecified","The impact of agricultural intensification and land-use change on the European arable flora | Candidate A: A functional analysis of shifts in sunflower weed assemblages; candidate B: Arable weed decline in Northern France | Remarkable changes of weed species in Spanish cereal fields from 1976 to 2007","2012 | 2009 | 2011","","10.1098/rspb.2011.1686 | 10.1111/j.1654-1103.2009.05284.x | 10.1016/j.biocon.2008.09.029 | 10.1007/s13593-011-0030-4","","No value-level publication page, table, or equation established.","","","none","","","unresolved_without_guessing","The cited flora-change studies do not directly report universal weed Ndfa 0.68 or leguminous share 0.05; Fried 2009 is not uniquely identified by the row citation.","No value-level authority is established; the stored value is retained without endorsement.","Resolve the Fried/Cirujeda identities and derive a geography/crop-weighted Fabaceae share with an explicit Ndfa rule."
