Year,area,area_code,item,item_code,Element,Value
2003,Kyrgyzstan,113,Sunflower seed,2557,Feed,43271.9847229347
1983,Brazil,21,Bananas,2615,Export,89895.5
1988,Iraq,103,Soyabeans,2555,Processing,1803
1976,Morocco,143,Maize and products,2514,Domestic_supply,427761
2016,Ethiopia,238,"Offals, Edible",2736,Domestic_supply,132000
1982,France,68,Sesame seed,2561,Production,0
2003,Botswana,20,Groundnut Cake,2591,Export,19
1981,Sudan,206,"Beverages, Fermented",2657,Other_uses,0
2009,Fiji,66,Tea (including mate),2635,Stock_variation,-0.5
1987,Fiji,66,"Beverages, Alcoholic",2658,Stock_variation,11809.0317460252
1974,France,68,Freshwater Fish,2761,Import,19837
1991,Saudi Arabia,194,"Oranges, Mandarines",2611,Seed,0
1984,Timor-Leste,176,Rice and products,2807,Seed,813.022078106631
1981,Suriname,207,Wheat and products,2511,Import,20847.5
1971,Guyana,91,Sisal,2665,Other_uses,62
2007,Australia,10,"Fats, Animals, Raw",2737,Other_uses,126772.568493799
1969,"China, mainland",41,Oats,2516,Import,0
1975,Ireland,104,Cottonseed Oil,2575,Stock_variation,0
1974,Argentina,9,Sunflowerseed Cake,2592,Food,0
2006,Belarus,57,DDGS,2101,Other_uses,0
1978,El Salvador,60,Cocoa Beans and products,2633,Production,306
1991,Czechoslovakia,51,Maize Germ Oil,2582,Other_uses,0
2006,Uganda,226,Eggs,2744,Seed,2535.93737748621
2012,Paraguay,169,"Cereals, Other",2520,Export,0
2009,Pakistan,165,Pelagic Fish,2763,Feed,46852.5
1974,Liberia,123,Pigmeat,2733,Stock_variation,-80
2001,Cuba,49,"Lemons, Limes and products",2612,Stock_variation,104
1961,Haiti,93,Olive Oil,2580,Feed,0
1977,Guatemala,89,Groundnuts,2552,Import,33
2021,Jamaica,109,Pelagic Fish,2763,Production,0
1999,Germany,79,"Beverages, Alcoholic",2658,Domestic_supply,527925.5
2021,Brazil,21,Hides and skins,2748,Seed,0
1991,Cyprus,50,Rye and products,2515,Seed,0
2001,Serbia and Montenegro,186,"Roots, Other",2534,Other_uses,0
1981,Zambia,251,Tobacco,2671,Domestic_supply,1286
1993,Chile,40,Fodder cereal and grasses,2000,Feed,4265000
2004,Slovakia,199,Sunflowerseed Cake,2592,Stock_variation,0
2017,Portugal,174,Aquatic Plants,2775,Import,910
2003,Qatar,179,Poultry Meat,2734,Stock_variation,0
1979,Nepal,149,Maize and products,2514,Import,0
2009,Timor-Leste,176,Maize and products,2514,Import,2921.5
1971,Denmark,54,Dates,2619,Feed,0
1996,Norway,162,Sweet potatoes,2533,Feed,0
1979,South Africa,202,"Meat, Other",2735,Other_uses,0
1972,Tanzania,215,Freshwater Fish,2761,Export,6833.5
2010,French Polynesia,70,"Beverages, Alcoholic",2658,Production,0
2003,El Salvador,60,"Molluscs, Other",2767,Stock_variation,500
2017,Mali,133,Copra Cake,2596,Import,152
1976,Niger,158,Sorghum and products,2518,Seed,16568.1024447031
1979,South Korea,117,Onions,2602,Stock_variation,49.5
2019,Saudi Arabia,194,Fodder vegetables and roots,2002,Export,0
2012,Saint Lucia,189,Nuts and products,2551,Processing,0
2001,Italy,106,Soyabean Oil,2571,Import,37953.5
1986,"China, Hong Kong SAR",96,Potatoes and products,2531,Feed,34874.7402318185
1963,Romania,183,Pelagic Fish,2763,Stock_variation,0
2013,Russian Federation,185,"Meat, Other",2735,Domestic_supply,469735.666666667
1963,Peru,170,Straw,2105,Seed,0
2014,Sweden,210,Sunflower seed,2557,Domestic_supply,14000
2007,Tajikistan,208,"Fruits, Other",2625,Domestic_supply,27071
1990,Oman,221,Sorghum and products,2518,Processing,0
1978,United Arab Emirates,225,"Lemons, Limes and products",2612,Production,3205
1982,Solomon Islands,25,Nuts and products,2551,Food,96.1449275362319
1994,Chile,40,Sugarbeet pulp,2104,Food,0
2004,Somalia,201,Coconuts - Incl Copra,2560,Processing,0
1962,Kenya,114,Beans,2546,Stock_variation,0
2010,Iraq,103,Sorghum and products,2518,Stock_variation,142.666666666664
1977,Niger,158,Palm Oil,2577,Food,2200
2002,Italy,106,"Beverages, Alcoholic",2658,Import,88094.5
2004,Finland,67,"Fats, Animals, Raw",2737,Domestic_supply,8183.5
2008,Iraq,103,Demersal Fish,2762,Import,19025
2018,Czech Republic,167,Sunflowerseed Cake,2592,Production,109143.391341477
2014,Kuwait,118,Millet and products,2517,Stock_variation,0
2016,Iran,102,Tomatoes and products,2601,Export,1054327.23155312
2008,North Korea,116,Sorghum and products,2518,Domestic_supply,30033.5
2014,Nicaragua,157,"Roots, Other",2534,Other_uses,29846.9387755102
1995,Central African Republic,37,Coconuts - Incl Copra,2560,Production,0
1977,South Korea,117,"Fish, Body Oil",2781,Domestic_supply,3082.5
2000,Saint Kitts and Nevis,188,Oats,2516,Food,1
1966,Malaysia,131,Soy hulls,2103,Import,0
2002,RoW,999,Sweet potatoes,2533,Processing,0
1994,Bangladesh,16,Palm Oil,2577,Stock_variation,0
2021,Turkmenistan,213,Soyabean Cake,2590,Seed,0
2020,Pakistan,165,Cephalopods,2766,Import,120
2019,French Polynesia,70,Wine,2655,Production,0
2020,United Arab Emirates,225,Crustaceans,2765,Seed,0
1987,Iceland,99,"Beverages, Alcoholic",2658,Feed,0
1966,Spain,203,"Hard Fibres, Other",2667,Import,376
1967,Mexico,138,"Aquatic Animals, Others",2769,Feed,0
2010,Switzerland,211,"Oilcrops Oil, Other",2586,Export,10828.1
1987,Finland,67,Soyabean Cake,2590,Other_uses,0
1974,Solomon Islands,25,Rice and products,2807,Stock_variation,-2307
1998,DR Congo,250,Sesame seed,2561,Export,0
1971,Mali,133,"Beverages, Fermented",2657,Stock_variation,0
2016,Myanmar,28,Hides and skins,2748,Food,0
1980,Tanzania,215,Crustaceans,2765,Production,96.5
1961,Norway,162,Nuts and products,2551,Production,0
2006,United Arab Emirates,225,Sunflower seed,2557,Feed,0
1973,Costa Rica,48,Cocoa Beans and products,2633,Other_uses,0
1979,Central African Republic,37,"Pulses, Other and products",2549,Production,5800
2015,Sudan,206,Cottonseed,2559,Stock_variation,-4000
2007,Uzbekistan,235,"Meat, Other",2735,Domestic_supply,4100
1970,Nepal,149,Eggs,2744,Domestic_supply,11950
2020,Iraq,103,Wheat and products,2511,Stock_variation,-61608
2012,Gambia,75,Barley and products,2513,Processing,1000
1997,Lebanon,121,Coconuts - Incl Copra,2560,Seed,0
1977,Malaysia,131,"Hard Fibres, Other",2667,Processing,0
1996,Ecuador,58,Grapes and products (excl wine),2620,Seed,0
2003,"China, Hong Kong SAR",96,Brans,2111,Import,0
1972,Honduras,95,Cottonseed,2559,Other_uses,0
1969,Lao,120,Nuts and products,2551,Feed,0
2013,Panama,166,Rice and products,2807,Export,57
2018,Iran,102,Tomatoes and products,2601,Processing,0
1993,Iraq,103,Coffee and products,2630,Import,1084.5
1985,Thailand,216,"Meat, Other",2735,Other_uses,0
1970,Burkina Faso,233,Cottonseed Cake,2594,Seed,0
1995,Djibouti,72,"Molluscs, Other",2767,Processing,0
2005,Cameroon,32,Cephalopods,2766,Production,0.5
1971,Chile,40,Crustaceans,2765,Import,0
1970,Yugoslav SFR,248,"Fish, Body Oil",2781,Production,0
2009,Fiji,66,"Oranges, Mandarines",2611,Export,42.5
2003,Colombia,44,Soy hulls,2103,Stock_variation,0
2008,Maldives,132,Cloves,2642,Production,0
2020,South Korea,117,"Fish, Liver Oil",2782,Seed,0
2003,Oman,221,"Vegetables, Other",2605,Other_uses,0
1990,Israel,105,"Oilcrops Oil, Other",2586,Feed,0
2005,Georgia,73,Milk - Excluding Butter,2848,Domestic_supply,830991
1990,USSR,228,Cottonseed Cake,2594,Stock_variation,0
1976,Grenada,86,"Fruits, Other",2625,Other_uses,90.1217836023654
2009,France,68,Bovine Meat,2731,Production,1515808
2010,Iceland,99,Pigmeat,2733,Stock_variation,168.333333333333
2003,Venezuela,236,"Fish, Liver Oil",2782,Domestic_supply,10.5
1966,Turkey,223,Hides and skins,2748,Import,12226
2007,Eritrea,178,"Vegetables, Other",2605,Stock_variation,0
1986,France,68,"Oranges, Mandarines",2611,Stock_variation,-414.5
2014,Sierra Leone,197,"Pulses, Other and products",2549,Food,75452.0547945206
1974,Angola,7,Cottonseed,2559,Food,0
2007,Venezuela,236,Groundnuts,2552,Production,1094
1980,France,68,Poultry Meat,2734,Domestic_supply,868142.513441159
1990,Greece,84,Cottonseed,2559,Stock_variation,-50000
1993,Russian Federation,185,"Citrus, Other",2614,Food,61939.5
1989,Nepal,149,"Pulses, Other and products",2549,Feed,0
1977,France,68,Wine,2655,Processing,815494.354509894
1985,Malawi,130,Milk - Excluding Butter,2848,Stock_variation,29422.5656935105
1987,South Korea,117,Sisal,2665,Export,0
1980,Belgium-Luxembourg,15,Pepper,2640,Stock_variation,500
2002,Moldova,146,"Oilseed Cakes, Other",2598,Production,0
2018,Botswana,20,Soyabean Oil,2571,Production,0
2016,Cyprus,50,Palmkernel Oil,2576,Seed,0
1983,Yugoslav SFR,248,Tomatoes and products,2601,Stock_variation,0
1982,Zambia,251,"Beverages, Alcoholic",2658,Processing,0
1971,Canada,33,Grapefruit and products,2613,Processing,0
1994,Portugal,174,Poultry Meat,2734,Domestic_supply,221032.5
1992,"China, mainland",41,Palm kernels,2562,Processing,48000
2008,Moldova,146,Groundnut Oil,2572,Production,0
2009,Philippines,171,Soyabeans,2555,Food,2115.64401853029
2021,Ireland,104,Crustaceans,2765,Other_uses,0
1995,Mauritius,137,Millet and products,2517,Feed,77
1999,Peru,170,Groundnuts,2552,Seed,369.877966101695
2005,Bahamas,12,"Marine Fish, Other",2764,Domestic_supply,996
2002,Saint Kitts and Nevis,188,Sugar (Raw Equivalent),2542,Domestic_supply,6782.5
1985,Canada,33,"Spices, Other",2645,Feed,0
1985,Philippines,171,Yams,2535,Seed,6323.6356793376
1986,USSR,228,Oats,2516,Food,473875.79752668
2011,Slovenia,198,Rye and products,2515,Feed,1114.5050771898
1988,Egypt,59,"Meat, Other",2735,Food,84106
2000,Cuba,49,"Fish, Liver Oil",2782,Processing,0
2000,Morocco,143,Sunflowerseed Oil,2573,Seed,0
2000,Poland,173,Hides and skins,2748,Feed,0
1992,Israel,105,Fodder mix,2003,Stock_variation,0
1992,Sudan,206,Freshwater Fish,2761,Other_uses,0
2002,Czech Republic,167,Linum,772,Domestic_supply,17301
1975,Turkey,223,"Offals, Edible",2736,Seed,0
2014,"China, Hong Kong SAR",96,Rubber,2672,Food,0
2002,Angola,7,Mutton & Goat Meat,2732,Food,14789
1992,Jordan,112,Fodder legumes,2001,Other_uses,0
2009,Botswana,20,Sweet potatoes,2533,Export,0
1998,Saudi Arabia,194,Soyabean Cake,2590,Stock_variation,0
2000,Kiribati,83,"Marine Fish, Other",2764,Seed,0
1981,Suriname,207,"Marine Fish, Other",2764,Processing,0
2009,Cuba,49,"Spices, Other",2645,Import,779.5
1995,Saint Kitts and Nevis,188,"Beverages, Alcoholic",2658,Food,103
1991,El Salvador,60,"Fish, Body Oil",2781,Import,25
1988,Brazil,21,Soy hulls,2103,Domestic_supply,672710.5
2021,United Arab Emirates,225,Pimento,2641,Processing,0
2020,Chile,40,Soy hulls,2103,Import,0
1986,Belgium-Luxembourg,15,Rape and Mustardseed,2558,Other_uses,0
1968,Gambia,75,Groundnuts,2552,Domestic_supply,96349
2011,Guyana,91,Millet and products,2517,Export,0
2018,Nicaragua,157,Copra Cake,2596,Production,267.013549781762
2017,Israel,105,"Cereals, Other",2520,Import,15000
1970,Iraq,103,Firewood,2107,Import,0
2018,Indonesia,101,Sesameseed Oil,2579,Seed,0
1964,Germany,79,"Oilcrops, Other",2570,Food,7107.27294347834
1983,Kenya,114,"Oranges, Mandarines",2611,Other_uses,0
1974,Togo,217,"Fats, Animals, Raw",2737,Other_uses,0
1961,Mali,133,Tomatoes and products,2601,Food,5080
1988,Samoa,244,Pigmeat,2733,Other_uses,96
1991,Poland,173,Sesameseed Cake,2597,Other_uses,0
2016,Oman,221,"Vegetables, Other",2605,Stock_variation,-27987.1
1961,Switzerland,211,"Oilseed Cakes, Other",2598,Stock_variation,0
2005,Bangladesh,16,Soyabean Oil,2571,Production,0
2014,Senegal,195,Poultry Meat,2734,Domestic_supply,66000
2004,Paraguay,169,Palm kernels,2562,Feed,0
1963,Rwanda,184,Cotton lint,2661,Processing,0
2001,New Zealand,156,"Beverages, Fermented",2657,Processing,0
1961,Austria,11,Demersal Fish,2762,Import,23169.5
1990,Malaysia,131,Cocoa Beans and products,2633,Production,247000
1985,Zambia,251,Palm Oil,2577,Production,0
1961,Netherlands Antilles,151,Barley and products,2513,Food,0
1968,Ethiopia,238,"Hard Fibres, Other",2667,Export,0
1981,United Kingdom,229,Wine,2655,Seed,0
2008,Georgia,73,Cephalopods,2766,Seed,0
1999,DR Congo,250,Cottonseed Cake,2594,Domestic_supply,6837.06924396373
1987,Jamaica,109,Grapefruit and products,2613,Import,120
1994,Belize,23,Poultry Meat,2734,Seed,0
1995,Jordan,112,Sunflowerseed Cake,2592,Import,476
1992,Belize,23,Other crop residues,2106,Food,0
2013,Zimbabwe,181,Millet and products,2517,Other_uses,0
1970,India,100,"Roots, Other",2534,Import,0.5
1979,Argentina,9,Coffee and products,2630,Import,36039
2011,Chad,39,Apples and products,2617,Feed,0
1961,Poland,173,Wheat and products,2511,Export,210
1990,Germany,79,Dates,2619,Export,190.5
2002,Brunei Darussalam,26,"Fruits, Other",2625,Other_uses,19547.8267676698
1973,Iran,102,Firewood,2107,Food,0
1977,South Korea,117,Wool (Clean Eq.),2746,Food,0
2001,Denmark,54,Fodder legumes,2001,Export,0
1994,Portugal,174,Hops,677,Domestic_supply,97
2015,Honduras,95,"Oil, palm fruit",254,Stock_variation,0
1987,Guinea-Bissau,175,Copra Cake,2596,Export,0
1995,Viet Nam,237,"Vegetables, Other",2605,Food,4151173.5
1964,Rwanda,184,Maize and products,2514,Production,21311
1976,Austria,11,Potatoes and products,2531,Export,18009.5
1972,Czechoslovakia,51,Maize and products,2514,Feed,939641.976541622
2008,Gambia,75,Olive Oil,2580,Seed,0
1997,Latvia,119,Sugar beet,2537,Export,0
2019,Zimbabwe,181,DDGS,2101,Import,0
1973,Venezuela,236,"Fish, Body Oil",2781,Import,50
1980,Chad,39,Beer,2656,Seed,0
1974,Sri Lanka,38,"Pulses, Other and products",2549,Stock_variation,8
2008,Suriname,207,"Oilcrops, Other",2570,Seed,0
1978,Brazil,21,"Fish, Body Oil",2781,Other_uses,795.5
1984,Mozambique,144,Coconut Oil,2578,Seed,0
1997,Niger,158,Palm Oil,2577,Import,19929.5
2006,Mongolia,141,"Beverages, Fermented",2657,Export,0
2001,Colombia,44,Soy hulls,2103,Feed,21750
2007,DR Congo,250,Groundnut Cake,2591,Stock_variation,0
1992,Spain,203,Crustaceans,2765,Seed,0
1988,Cambodia,115,"Hard Fibres, Other",2667,Import,0
2006,Pakistan,165,Maize Germ Oil,2582,Seed,0
2014,Cyprus,50,Rape and Mustard Oil,2574,Seed,0
2013,Myanmar,28,"Pulses, Other and products",2549,Feed,504920.863309353
2002,Dominica,55,Crustaceans,2765,Processing,0
1993,Ivory Coast,107,Bovine Meat,2731,Production,34225.75
1981,Yemen,249,Cloves,2642,Domestic_supply,4.5
1988,Jamaica,109,Sesame seed,2561,Import,2.5
2008,Nicaragua,157,Nuts and products,2551,Seed,0
1997,Chad,39,Rice and products,2807,Export,0
2012,Serbia,272,"Hard Fibres, Other",2667,Other_uses,1
1964,Brunei Darussalam,26,"Fats, Animals, Raw",2737,Other_uses,27.5
1965,Austria,11,Sugar (Raw Equivalent),2542,Domestic_supply,291829
2009,Sri Lanka,38,Hides and skins,2748,Other_uses,4830
1987,Mongolia,141,"Pulses, Other and products",2549,Stock_variation,0
2008,Nigeria,159,Coconut Oil,2578,Other_uses,0
1963,Uganda,226,Maize and products,2514,Domestic_supply,174107
1962,Ivory Coast,107,Tea (including mate),2635,Export,0
1997,Lao,120,Sugar (Raw Equivalent),2542,Other_uses,0
2021,United States of America,231,"Butter, Ghee",2740,Processing,0
2012,Israel,105,Bananas,2615,Domestic_supply,126000
1975,Brazil,21,"Oilseed Cakes, Other",2598,Domestic_supply,17254
2000,Kyrgyzstan,113,Rape and Mustard Oil,2574,Seed,0
2000,Australia,10,Sugar (Raw Equivalent),2542,Domestic_supply,1226891.5
1988,Saint Vincent and the Grenadines,191,Other crop residues,2106,Domestic_supply,45300.916979178
1966,Sweden,210,Soyabean Cake,2590,Other_uses,0
2005,Tanzania,215,"Butter, Ghee",2740,Import,88.5
2010,Timor-Leste,176,"Fruits, Other",2625,Export,0
2001,Uganda,226,"Oilcrops Oil, Other",2586,Domestic_supply,14045.5
1969,Romania,183,"Pulses, Other and products",2549,Processing,0
1980,Mexico,138,Grapefruit and products,2613,Processing,0
2002,Kiribati,83,Maize and products,2514,Processing,0
2017,Ukraine,230,Bovine Meat,2731,Feed,0
2004,Brazil,21,Groundnut Oil,2572,Production,21900
2001,Israel,105,Groundnuts,2552,Domestic_supply,23320
1992,Israel,105,Sesame seed,2561,Domestic_supply,20005
1968,Spain,203,Wool (Clean Eq.),2746,Domestic_supply,53064
2001,Ireland,104,"Meat, Other",2735,Stock_variation,-11530.5
1996,North Korea,116,Rubber,2672,Feed,0
1981,Kiribati,83,Rice and products,2807,Food,3997.51802120141
2007,Chad,39,"Oranges, Mandarines",2611,Production,0
2005,Saint Lucia,189,"Pulses, Other and products",2549,Export,0
2014,Tajikistan,208,Hides and skins,2748,Feed,0
2006,Chad,39,Grapes and products (excl wine),2620,Import,9.5
1988,Egypt,59,Mutton & Goat Meat,2732,Domestic_supply,99100.5
1967,Panama,166,Demersal Fish,2762,Domestic_supply,2060.5
1971,Honduras,95,Olive Oil,2580,Other_uses,0
2009,Albania,3,Groundnut Cake,2591,Production,25
1988,Malta,134,"Meat, Other",2735,Seed,0
1992,Cabo Verde,35,"Vegetables, Other",2605,Domestic_supply,7868.5
2015,Philippines,171,Sweet potatoes,2533,Export,0
2000,Rwanda,184,Pineapples and products,2618,Stock_variation,0
2008,Cabo Verde,35,Cassava and products,2532,Domestic_supply,4069
1987,Trinidad and Tobago,220,Tomatoes and products,2601,Processing,0
1961,Saint Kitts and Nevis,188,"Spices, Other",2645,Production,0
1976,"China, Hong Kong SAR",96,Groundnut Oil,2572,Stock_variation,0
2005,Austria,11,Milk - Excluding Butter,2848,Production,3135852
2001,Mali,133,Sunflowerseed Oil,2573,Other_uses,0
2005,Switzerland,211,"Roots, Other",2534,Seed,0
2019,Iran,102,Pimento,2641,Stock_variation,-169.92
1987,Viet Nam,237,Coffee and products,2630,Processing,0
2005,Indonesia,101,Cottonseed Cake,2594,Seed,0
2020,Serbia,272,Demersal Fish,2762,Production,0
1989,"China, Macao SAR",128,Nuts and products,2551,Processing,0
1990,Uruguay,234,Peas,2547,Feed,0
2006,Tunisia,222,Grapefruit and products,2613,Stock_variation,-2038.64
2003,Botswana,20,"Fruits, Other",2625,Other_uses,0
1992,Iran,102,"Citrus, Other",2614,Processing,0
2018,Netherlands,150,Copra Cake,2596,Domestic_supply,646
1985,Norway,162,Millet and products,2517,Feed,36
2001,France,68,Eggs,2744,Feed,0
1973,Yugoslav SFR,248,"Offals, Edible",2736,Stock_variation,2117.8416454611
1988,Botswana,20,Sunflowerseed Oil,2573,Feed,0
1989,Czechoslovakia,51,DDGS Barley,2102,Processing,0
2009,Samoa,244,Cocoa Beans and products,2633,Stock_variation,-421.47
1991,Lao,120,Milk - Excluding Butter,2848,Processing,0
1977,South Korea,117,Soyabean Cake,2590,Feed,85008
2009,Bulgaria,27,Pimento,2641,Other_uses,0
1961,Finland,67,Dates,2619,Seed,0
2007,Belize,23,"Beverages, Alcoholic",2658,Import,1998.5
2005,Namibia,147,Silk,2747,Import,1
1967,Philippines,171,Bananas,2615,Import,0
1977,Sierra Leone,197,Soyabean Oil,2571,Domestic_supply,1073.5
2004,Malta,134,Honey,2745,Feed,0
2018,Bahamas,12,Grapefruit and products,2613,Domestic_supply,25000
1987,Mali,133,"Beverages, Fermented",2657,Processing,0
1994,Germany,79,Brans,2111,Other_uses,0
1986,Madagascar,129,Coconuts,248,Food,0
2018,Fiji,66,"Offals, Edible",2736,Export,0
1979,Kiribati,83,"Butter, Ghee",2740,Import,25
2000,Iceland,99,"Butter, Ghee",2740,Feed,0
1997,Trinidad and Tobago,220,Straw,2105,Stock_variation,0
2017,Uzbekistan,235,"Beverages, Alcoholic",2658,Domestic_supply,67000
2018,Kuwait,118,Peas,2547,Production,0
1973,Trinidad and Tobago,220,"Fats, Animals, Raw",2737,Production,784.550274403855
1978,Malawi,130,Potatoes and products,2531,Feed,11111.1063627933
2001,Brunei Darussalam,26,Sugar cane,2536,Export,0
2000,Norway,162,Sunflowerseed Cake,2592,Other_uses,0
2021,South Africa,202,Sunflowerseed Oil,2573,Food,336000
1995,Oman,221,Straw,2105,Feed,70406.1340602876
2013,Malaysia,131,Onions,2602,Other_uses,0
2003,Kiribati,83,Nuts and products,2551,Export,0
1990,Portugal,174,Cotton lint,2661,Import,187020
2004,Italy,106,Sunflowerseed Oil,2573,Import,143853
2016,New Zealand,156,Coconuts - Incl Copra,2560,Food,12000
1999,Slovakia,199,Sesame seed,2561,Import,126
1981,Tunisia,222,Bovine Meat,2731,Import,9934
1962,Rwanda,184,Millet and products,2517,Stock_variation,56.5
1984,Malaysia,131,Cephalopods,2766,Stock_variation,2166.5
2012,El Salvador,60,Palmkernel Cake,2595,Stock_variation,0
2017,Mozambique,144,Sesameseed Cake,2597,Processing,0
2008,Kiribati,83,Cephalopods,2766,Production,2.5
1996,Uruguay,234,Wine,2655,Seed,0
2019,Madagascar,129,"Pulses, Other and products",2549,Import,0
2013,Montenegro,273,"Offals, Edible",2736,Seed,0
1986,"China, Hong Kong SAR",96,DDGS,2101,Stock_variation,0
1983,Bahamas,12,Sugar (Raw Equivalent),2542,Production,3260.36045563434
1970,Mauritania,136,Groundnut Cake,2591,Feed,677
1993,Burundi,29,Potatoes and products,2531,Stock_variation,0
1992,Panama,166,Apples and products,2617,Processing,0
1970,Uganda,226,Pepper,2640,Processing,0
2021,Gabon,74,Rubber,2672,Export,5216
1990,Timor-Leste,176,Beer,2656,Other_uses,0
1995,Norway,162,Beans,2546,Other_uses,0
1998,Netherlands,150,Dates,2619,Seed,0
2008,Australia,10,"Molluscs, Other",2767,Other_uses,0
1961,Sri Lanka,38,Soyabeans,2555,Domestic_supply,15
2002,Dominican Republic,56,Yams,2535,Production,22060
1985,Greece,84,"Offals, Edible",2736,Seed,0
1963,Sao Tome and Principe,193,Straw,2105,Feed,1037.84773584906
2008,Saudi Arabia,194,Mutton & Goat Meat,2732,Seed,0
2020,Peru,170,Crustaceans,2765,Stock_variation,10
2020,Angola,7,"Aquatic Animals, Others",2769,Other_uses,0
1966,Brunei Darussalam,26,"Butter, Ghee",2740,Production,0
2001,Jamaica,109,Grapes and products (excl wine),2620,Feed,0
1979,Congo,46,Plantains,2616,Seed,0
2002,Hungary,97,Beer,2656,Import,22079.5
2016,Jamaica,109,DDGS Barley,2102,Processing,0
1982,Dominica,55,Rice and products,2807,Domestic_supply,1049
1978,Suriname,207,DDGS Barley,2102,Production,530.74
1984,Australia,10,Grapes and products (excl wine),2620,Other_uses,0
2020,Belize,23,"Oilcrops Oil, Other",2586,Food,4666.66666666667
1990,Finland,67,Tea (including mate),2635,Production,0
2009,Philippines,171,"Fish, Liver Oil",2782,Export,53.5
1995,Saint Vincent and the Grenadines,191,"Spices, Other",2645,Other_uses,83
1982,Vanuatu,155,Crustaceans,2765,Other_uses,0
1972,Cabo Verde,35,Molasses,2544,Food,0
2006,Cameroon,32,Honey,2745,Import,4
2007,Australia,10,Straw,2105,Domestic_supply,21764706.7187052
1999,Bolivia,19,Soyabean Cake,2590,Production,580000
1961,Turkey,223,"Fish, Body Oil",2781,Feed,150
1965,Hungary,97,"Vegetables, Other",2605,Feed,66043.2141063288
1961,Italy,106,Cottonseed,2559,Domestic_supply,8812.5
1967,Honduras,95,Sesame seed,2561,Food,0
2002,Spain,203,Freshwater Fish,2761,Import,60966.5
2002,Belarus,57,Sorghum and products,2518,Processing,0
2000,Chile,40,Milk - Excluding Butter,2848,Domestic_supply,2114068.5
1962,Poland,173,Soyabean Oil,2571,Processing,0
1991,Benin,53,Wine,2655,Export,0
2003,Belize,23,Sunflowerseed Oil,2573,Processing,0
2007,Czech Republic,167,Sorghum and products,2518,Seed,0
1987,Sri Lanka,38,"Fish, Body Oil",2781,Food,0
2014,Zimbabwe,181,Palm Oil,2577,Stock_variation,0
2003,Uzbekistan,235,Eggs,2744,Feed,0
2020,Guinea-Bissau,175,Nuts and products,2551,Import,0
1965,Chile,40,"Oilcrops Oil, Other",2586,Stock_variation,-500
1974,Angola,7,Rubber,2672,Processing,0
2005,Malta,134,Millet and products,2517,Other_uses,0
1973,Netherlands,150,Cassava and products,2532,Stock_variation,0
1970,Finland,67,Jute,2662,Production,0
1961,RoW,999,Millet and products,2517,Feed,2027.08006279435
1966,Pakistan,165,Hides and skins,2748,Domestic_supply,64824.9441580005
1979,Peru,170,Cottonseed Cake,2594,Other_uses,0
2005,Yemen,249,Cottonseed Oil,2575,Import,762
2006,Burkina Faso,233,Rye and products,2515,Other_uses,0
2021,South Korea,117,Palmkernel Cake,2595,Stock_variation,0
1990,Iraq,103,Fodder vegetables and roots,2002,Other_uses,0
1988,Egypt,59,Beans,2546,Import,0.5
1974,Guatemala,89,Honey,2745,Import,8.5
2017,Uganda,226,"Fats, Animals, Raw",2737,Food,16000
1987,Italy,106,Cephalopods,2766,Processing,0
2011,Ethiopia,238,Pigmeat,2733,Processing,0
2012,Argentina,9,Peas,2547,Processing,0
2010,Sudan,206,"Cereals, Other",2520,Export,0
1967,Mozambique,144,Pineapples and products,2618,Other_uses,0
1988,Norway,162,Barley and products,2513,Production,541834
2002,Benin,53,Cottonseed Cake,2594,Seed,0
2004,Saint Lucia,189,Rape and Mustardseed,2558,Domestic_supply,25
2007,Indonesia,101,Groundnut Oil,2572,Domestic_supply,31165
1964,Lesotho,122,Potatoes and products,2531,Other_uses,0
2002,Nigeria,159,"Oilcrops Oil, Other",2586,Processing,0
2007,India,100,Wool (Clean Eq.),2746,Feed,0
2021,Lesotho,122,Rubber,2672,Export,0
1984,Panama,166,Maize and products,2514,Import,15805.5
2021,Philippines,171,Millet and products,2517,Export,0
1988,Saint Lucia,189,Coconuts,248,Feed,0
1996,Malawi,130,"Spices, Other",2645,Other_uses,0
1967,Greece,84,Beer,2656,Seed,0
2007,Mexico,138,Onions,2602,Processing,0
1999,Azerbaijan,52,Pigmeat,2733,Food,7060
1984,Guatemala,89,Sorghum and products,2518,Processing,0
2012,Georgia,73,"Meat, Other",2735,Production,370
1992,Uzbekistan,235,Maize and products,2514,Import,218950
1976,"China, mainland",41,Coconuts - Incl Copra,2560,Seed,0
1997,Switzerland,211,Rubber,2672,Other_uses,3223
1972,Saint Kitts and Nevis,188,"Offals, Edible",2736,Stock_variation,34.3700828728557
2008,Pakistan,165,"Sweeteners, Other",2543,Import,16017.5
1977,Venezuela,236,DDGS Barley,2102,Import,0
1980,Ghana,81,Bananas,2615,Processing,0
1968,Timor-Leste,176,Eggs,2744,Processing,0
1978,India,100,Ricebran Oil,2581,Production,96000
2013,Ireland,104,Beans,2546,Domestic_supply,19000
2013,Latvia,119,Pelagic Fish,2763,Feed,994.89322191272
2021,Azerbaijan,52,Beans,2546,Processing,0
1982,Lao,120,Mutton & Goat Meat,2732,Processing,0
1987,Guatemala,89,Wool (Clean Eq.),2746,Other_uses,3
1992,Iraq,103,"Meat, Other",2735,Seed,0
1984,Peru,170,Rape and Mustard Oil,2574,Seed,0
