item_code_trade,item_trade,item_cbs,item_check
920.0,"Hides, cattle, wet salted",Hides and skins,Hides and skins
921.0,#N/A,Hides and skins,Hides and skins
922.0,#N/A,Hides and skins,Hides and skins
928.0,"Skins, calve, wet salted",Hides and skins,Hides and skins
929.0,#N/A,Hides and skins,Hides and skins
930.0,#N/A,Hides and skins,Hides and skins
946.0,Buffaloes,Buffaloes,Buffaloes
947.0,"Meat, buffalo",Bovine Meat,Bovine Meat
948.0,"Offals, edible, buffaloes","Offals, Edible","Offals, Edible"
949.0,"Fat, buffaloes","Fats, Animals, Raw","Fats, Animals, Raw"
951.0,"Milk, whole fresh buffalo",Milk - Excluding Butter,Milk - Excluding Butter
952.0,"Butter, buffalo milk","Butter, Ghee","Butter, Ghee"
953.0,"Ghee, buffalo milk","Butter, Ghee","Butter, Ghee"
954.0,"Milk, skimmed buffalo",Milk - Excluding Butter,Milk - Excluding Butter
955.0,"Cheese, buffalo milk",Milk - Excluding Butter,Milk - Excluding Butter
957.0,"Hides, buffalo, fresh",Hides and skins,Hides and skins
958.0,"Hides, buffalo, wet salted",Hides and skins,Hides and skins
959.0,"Hides, buffalo, dry salted",Hides and skins,Hides and skins
976.0,Sheep,Sheep,Sheep
977.0,"Meat, sheep",Mutton & Goat Meat,Mutton & Goat Meat
978.0,"Offals, sheep,edible","Offals, Edible","Offals, Edible"
979.0,"Fat, sheep","Fats, Animals, Raw","Fats, Animals, Raw"
982.0,"Milk, whole fresh sheep",Milk - Excluding Butter,Milk - Excluding Butter
983.0,"Butter and ghee, sheep milk","Butter, Ghee","Butter, Ghee"
984.0,"Cheese, sheep milk",Milk - Excluding Butter,Milk - Excluding Butter
985.0,"Milk, skimmed sheep",Milk - Excluding Butter,Milk - Excluding Butter
987.0,"Wool, greasy",Wool (Clean Eq.),Wool (Clean Eq.)
988.0,"Wool, degreased",Wool (Clean Eq.),Wool (Clean Eq.)
994.0,Grease incl. lanolin wool,"Fats, Animals, Raw","Fats, Animals, Raw"
995.0,"Skins, sheep, fresh",Hides and skins,Hides and skins
996.0,"Skins, sheep, wet salted",Hides and skins,Hides and skins
997.0,"Skins, sheep, dry salted",Hides and skins,Hides and skins
998.0,#N/A,Hides and skins,Hides and skins
999.0,"Skins, sheep, with wool",Hides and skins,Hides and skins
1002.0,#N/A,Hides and skins,Hides and skins
1009.0,"Wool, hair waste",Wool (Clean Eq.),Wool (Clean Eq.)
1016.0,Goats,Goats,Goats
1017.0,"Meat, goat",Mutton & Goat Meat,Mutton & Goat Meat
1018.0,"Offals, edible, goats","Offals, Edible","Offals, Edible"
1019.0,"Fat, goats","Fats, Animals, Raw","Fats, Animals, Raw"
1020.0,"Milk, whole fresh goat",Milk - Excluding Butter,Milk - Excluding Butter
1021.0,"Cheese, goat milk",Milk - Excluding Butter,Milk - Excluding Butter
1022.0,"Butter, goat milk","Butter, Ghee","Butter, Ghee"
1023.0,"Milk, skimmed goat",Milk - Excluding Butter,Milk - Excluding Butter
1025.0,"Skins, goat, fresh",Hides and skins,Hides and skins
1026.0,"Skins, goat, wet salted",Hides and skins,Hides and skins
1027.0,#N/A,Hides and skins,Hides and skins
1028.0,#N/A,Hides and skins,Hides and skins
1034.0,Pigs,Pigs,Pigs
1035.0,"Meat, pig",Pigmeat,Pigmeat
1036.0,"Offals, pigs, edible","Offals, Edible","Offals, Edible"
1037.0,"Fat, pigs","Fats, Animals, Raw","Fats, Animals, Raw"
1038.0,"Meat, pork",Pigmeat,Pigmeat
1039.0,Bacon and ham,Pigmeat,Pigmeat
1041.0,"Meat, pig sausages",Pigmeat,Pigmeat
1042.0,"Meat, pig, preparations",Pigmeat,Pigmeat
1043.0,Lard,"Fats, Animals, Raw","Fats, Animals, Raw"
1044.0,#N/A,Hides and skins,Hides and skins
1045.0,#N/A,Hides and skins,Hides and skins
1046.0,#N/A,Hides and skins,Hides and skins
1047.0,#N/A,Hides and skins,Hides and skins
1057.0,Chickens,"Chickens, broilers","Chickens, broilers"
1058.0,"Meat, chicken",Poultry Meat,Poultry Meat
1059.0,"Offals, liver chicken","Offals, Edible","Offals, Edible"
1060.0,"Fat, liver prepared (foie gras)",Poultry Meat,Poultry Meat
1061.0,"Meat, chicken, canned",Poultry Meat,Poultry Meat
1062.0,"Eggs, hen, in shell",Eggs,Eggs
1063.0,"Eggs, liquid",Eggs,Eggs
1064.0,"Eggs, dried",Eggs,Eggs
1065.0,"Fat, poultry","Fats, Animals, Raw","Fats, Animals, Raw"
1066.0,"Fat, poultry, rendered","Fats, Animals, Raw","Fats, Animals, Raw"
1068.0,Ducks,Ducks,Ducks
1069.0,"Meat, duck",Poultry Meat,Poultry Meat
1073.0,"Meat, goose and guinea fowl",Poultry Meat,Poultry Meat
1074.0,"Offals, liver geese","Offals, Edible","Offals, Edible"
1075.0,"Offals, liver duck","Offals, Edible","Offals, Edible"
1079.0,Turkeys,Turkeys,Turkeys
1080.0,"Meat, turkey",Poultry Meat,Poultry Meat
1081.0,"Offals, liver turkeys","Offals, Edible","Offals, Edible"
1083.0,"Pigeons, other birds","Chickens, broilers","Chickens, broilers"
1089.0,"Meat, bird nes","Meat, Other","Meat, Other"
1091.0,"Eggs, other bird, in shell",Eggs,Eggs
1096.0,Horses,Horses,Horses
1097.0,"Meat, horse","Meat, Other","Meat, Other"
1098.0,"Offals, horses","Offals, Edible","Offals, Edible"
1103.0,"Hides, horse, wet salted",Hides and skins,Hides and skins
1107.0,Asses,Asses,Asses
1108.0,"Meat, ass","Meat, Other","Meat, Other"
1110.0,Mules,Mules,Mules
1111.0,"Meat, mule","Meat, Other","Meat, Other"
1126.0,Camels,Camels,Camels
1127.0,"Meat, camel","Meat, Other","Meat, Other"
1128.0,"Offals, edible, camels","Offals, Edible","Offals, Edible"
1129.0,"Fat, camels","Fats, Animals, Raw","Fats, Animals, Raw"
1130.0,"Milk, whole fresh camel",Milk - Excluding Butter,Milk - Excluding Butter
1133.0,#N/A,Hides and skins,Hides and skins
1134.0,"Hides, camel, wet salted",Hides and skins,Hides and skins
1135.0,#N/A,Hides and skins,Hides and skins
1136.0,"Hides, camel nes",Hides and skins,Hides and skins
1140.0,Rabbits and hares,Rabbits and hares,Rabbits and hares
1141.0,"Meat, rabbit","Meat, Other","Meat, Other"
1146.0,#N/A,Hides and skins,Hides and skins
1151.0,"Meat, other rodents","Meat, Other","Meat, Other"
1158.0,"Meat, camel nes","Meat, Other","Meat, Other"
1159.0,"Offals, other camelids","Offals, Edible","Offals, Edible"
1160.0,"Fat, other camelids","Fats, Animals, Raw","Fats, Animals, Raw"
1163.0,"Meat, game","Meat, Other","Meat, Other"
1164.0,"Meat, dried nes","Meat, Other","Meat, Other"
1166.0,Meat nes,"Meat, Other","Meat, Other"
1167.0,Offals nes,"Offals, Edible","Offals, Edible"
1168.0,"Oils, fats of animal nes","Fats, Animals, Raw","Fats, Animals, Raw"
1171.0,Animals live nes,Animals live nes,Animals live nes
1172.0,"Meat nes, preparations","Meat, Other","Meat, Other"
1173.0,"Meal, meat",Meat Meal,Meat Meal
1175.0,"Meal, blood",Meat Meal,Meat Meal
1176.0,"Snails, not sea","Meat, Other","Meat, Other"
1181.0,Beehives,Bees,Bees
1182.0,"Honey, natural",Honey,Honey
1183.0,Beeswax,Other,#N/A
1185.0,"Silk-worm cocoons, reelable",Silk,Silk
1186.0,"Silk, raw",Silk,Silk
1187.0,"Cocoons, unreelable & waste",Silk,Silk
1195.0,#N/A,Hides and skins,Hides and skins
1213.0,"Hides and skins nes, fresh",Hides and skins,Hides and skins
1214.0,#N/A,Hides and skins,Hides and skins
1215.0,#N/A,Hides and skins,Hides and skins
1218.0,"Hair, fine",Wool (Clean Eq.),Wool (Clean Eq.)
1221.0,Lard stearine oil,"Fats, Animals, Raw","Fats, Animals, Raw"
1222.0,Degras,"Fats, Animals, Raw","Fats, Animals, Raw"
1225.0,Tallow,"Fats, Animals, Raw","Fats, Animals, Raw"
1232.0,Food prep nes,Other,#N/A
1241.0,"Margarine, liquid","Oilcrops Oil, Other","Oilcrops Oil, Other"
1242.0,"Margarine, short","Oilcrops Oil, Other","Oilcrops Oil, Other"
1243.0,"Fat nes, prepared","Fats, Animals, Raw","Fats, Animals, Raw"
1273.0,"Castor oil, hydrogenated (opal wax)","Oilcrops Oil, Other","Oilcrops Oil, Other"
1274.0,"Oil, boiled etc","Oilcrops Oil, Other","Oilcrops Oil, Other"
1275.0,"Oil, hydrogenated","Oilcrops Oil, Other","Oilcrops Oil, Other"
1276.0,Fatty acids,Palm Oil,Palm Oil
1277.0,Fatty substance residues,Palm Oil,Palm Oil
1293.0,Crude materials,Other,#N/A
1295.0,Spermaceti,"Fish, Body Oil","Fish, Body Oil"
1296.0,Waxes vegetable,"Oilcrops Oil, Other","Oilcrops Oil, Other"
1501.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1503.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1504.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1505.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1506.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1507.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1508.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1509.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1510.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1511.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1514.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1515.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1516.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1517.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1518.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1519.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1520.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1521.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1522.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1523.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1524.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1527.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1528.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1529.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1530.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1531.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1532.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1533.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1534.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1535.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1536.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1537.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1540.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1541.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1542.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1543.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1544.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1545.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1546.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1547.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1549.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1550.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1553.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1554.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1555.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1556.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1557.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1558.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1559.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1562.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1563.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1564.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1565.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1566.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1567.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1570.0,Cephlp Fresh,Cephalopods,Cephalopods
1571.0,Cphlp Frozen,Cephalopods,Cephalopods
1572.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1573.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1574.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1575.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1576.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1580.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1581.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1583.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1587.0,Aqutc anim,"Marine Fish, Other","Marine Fish, Other"
1588.0,Aq A Cured,"Marine Fish, Other","Marine Fish, Other"
1589.0,Aquatic Animal Meals,"Marine Fish, Other","Marine Fish, Other"
1590.0,Aq A Prep Ns,"Marine Fish, Other","Marine Fish, Other"
1591.0,#N/A,"Marine Fish, Other","Marine Fish, Other"
1594.0,"Aquatic plants, fresh",Aquatic Plants,Aquatic Plants
1595.0,"Aquatic plants, dried",Aquatic Plants,Aquatic Plants
1596.0,"Aquatic plants, other preparations",Aquatic Plants,Aquatic Plants
1745.0,Cheese (All Kinds),Milk - Excluding Butter,Milk - Excluding Butter
1811.0,Butter and ghee,"Butter, Ghee","Butter, Ghee"
1892.0,Fodder and Feeding Stuff,Fodder cereal and grasses,Fodder cereal and grasses
1895.0,Beverages,"Beverages, Fermented","Beverages, Fermented"
1896.0,Tobacco,Tobacco,Tobacco
1898.0,Hides and skins,Hides and skins,Hides and skins
1900.0,Natural Rubber,Rubber,Rubber
1907.0,Alcoholic beverages,"Beverages, Alcoholic","Beverages, Alcoholic"
1975.0,Animal Fats and Oils (excl. Butter),"Fats, Animals, Raw","Fats, Animals, Raw"
2071.0,Bovine Meat,Bovine Meat,Bovine Meat
,Fish meal,"Marine Fish, Other","Marine Fish, Other"
120.0,Potato offals,Potatoes and products,Potatoes and products
273.0,Olive residues,Olives (including preserved),Olives (including preserved)
566.0,"Grapes, marc",Grapes and products (excl wine),Grapes and products (excl wine)
584.0,Mango pulp,"Fruits, Other","Fruits, Other"
630.0,Cane tops,Sugar cane,Sugar cane
636.0,"Forage and silage, maize",Fodder cereal and grasses,Fodder cereal and grasses
641.0,"Forage and silage, alfalfa",Fodder legumes,Fodder legumes
646.0,"Turnips, for forage",Fodder vegetables and roots,Fodder vegetables and roots
647.0,Beets for fodder,Fodder vegetables and roots,Fodder vegetables and roots
649.0,Swedes for fodder,Fodder vegetables and roots,Fodder vegetables and roots
655.0,Vegetables and roots fodder,Fodder vegetables and roots,Fodder vegetables and roots
663.0,Cocoa husks and shells,Cocoa Beans and products,Cocoa Beans and products
839.0,"Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip",Rubber,Rubber
840.0,"Feed, compound, cattle",Wheat and products,Wheat and products
841.0,"Feed, compound, poultry",Maize and products,Maize and products
842.0,"Feed, compound, pigs",Soyabeans,Soyabeans
845.0,Compound feed n.e.c.,Maize and products,Maize and products
850.0,Feed supplements,Maize and products,Maize and products
852.0,"Feed, other concentrates nes",Maize and products,Maize and products
853.0,Vitamins,Vitamins,Vitamins
854.0,Feed additives,Methionine,Methionine
855.0,Feed minerals,Minerals,Minerals
857.0,"Hay, non-leguminous",Fodder cereal and grasses,Fodder cereal and grasses
858.0,"Hay for forage, from legumes",Fodder legumes,Fodder legumes
859.0,"Hay for forage, from other crops n.e.c.",Fodder vegetables and roots,Fodder vegetables and roots
1007.0,"Wool, shoddy",Wool (Clean Eq.),Wool (Clean Eq.)
1008.0,"Hair, carded/combed",Wool (Clean Eq.),Wool (Clean Eq.)
1030.0,"Hair, goat, fine",Wool (Clean Eq.),Wool (Clean Eq.)
1031.0,Coarse goat hair,Wool (Clean Eq.),Wool (Clean Eq.)
1040.0,"Pig, butcher fat","Fats, Animals, Raw","Fats, Animals, Raw"
1072.0,Geese,Geese,Geese
1100.0,"Hair, horse",Wool (Clean Eq.),Wool (Clean Eq.)
1104.0,"Hides, dry-salted of horses",Hides and skins,Hides and skins
1105.0,"Hides, horse nes",Hides and skins,Hides and skins
1150.0,Other rodents,"Rodents, other","Rodents, other"
1157.0,Other camelids,"Camelids, other","Camelids, other"
1216.0,"Other raw skins of other animals, preserved",Hides and skins,Hides and skins
1217.0,Leather used & waste,Hides and skins,Hides and skins
1219.0,"Hair, coarse nes",Wool (Clean Eq.),Wool (Clean Eq.)
1259.0,"Feed, food waste preparations",Maize and products,Maize and products
1169.0,"Other live animals non food, n.e.c.",Animals live nes,Animals live nes
